name,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
175,5,0,0.000754716981132075,43.3982491484236,0.00696375722212642,120,5,9
176,6,8,0.00103412616339193,229.971248368327,0.0787377717282823,1088,11,34
177,9,6,0.000906618313689937,126.644991027982,0.0629222554385732,767,11,35
178,3,5,0.000986193293885602,260.144338910861,0.0183758937438829,653,7,10
179,0,6,0.00102145045965271,64.0872677141989,0.0272298518393302,945,5,10
180,0,1,0.000683994528043776,0,0.000268389277182425,8,1,2
181,2,1,0.000972762645914397,0,0.0305675644768788,602,3,4
182,10,0,0.000811688311688312,78.3674631551872,0.0180970474414128,324,8,20
183,3,9,0.000892060660124889,192.4800475605,0.0372420007418768,628,8,26
184,3,9,0.00103842159916926,132.3586657384,0.057577168724203,1214,9,45
185,1,13,0.00103950103950104,208.188936858791,0.0556226289612003,1161,10,45
186,0,2,0.000971817298347911,65.5148380427472,0.0156849647422651,591,2,4
187,3,0,0.000972762645914397,16.399834180511,0.0169433332743696,617,3,6
188,1,3,0.000980392156862745,0,0.0320239157973599,621,4,8
189,3,0,0.000973709834469328,0.54,0.0158122606026427,599,3,6
190,1,4,0.00101936799184506,31.2438909533921,0.037800143488693,966,4,8
191,1,3,0.000774593338497289,32.8800676931876,0.010736733948765,144,3,5
192,16,2,0.00102354145342886,1193.6517698571,0.0498541829919512,948,11,35
193,11,11,0.00104058272632674,176.226512811014,0.084720277531593,1191,16,50
194,5,1,0.000991080277502478,74.3723281806134,0.0229173249712899,708,4,13
195,8,4,0.00105708245243129,76.6709218642752,0.0676492965470113,1405,11,81
196,0,5,0.000991080277502478,17.5952548256573,0.0239817321513137,743,4,10
197,1,6,0.000870322019147084,146.164932176795,0.0157551603427406,444,4,10
198,20,16,0.00106609808102345,290.707883387845,0.104223026799983,1562,18,200
199,6,8,0.00103950103950104,80.854961893173,0.0567562325037609,1140,10,46
200,2,3,0.000987166831194472,51.3345017684782,0.0519314818612929,710,5,5
201,11,11,0.00104712041884817,527.747594412384,0.0567464639643198,1257,14,63
202,0,13,0.00105263157894737,225.690341706751,0.0575876420436783,1352,11,74
203,10,2,0.00100704934541793,295.80913778598,0.0537772880684317,894,10,23
204,0,2,0.000973709834469328,0,0.0157064988837952,595,2,4
205,5,12,0.00100200400801603,392.296463925335,0.0273158501557963,789,10,36
206,1,2,0.000975609756097561,46.9467738816573,0.0164000996136308,610,3,8
207,9,7,0.000916590284142988,171.391071603685,0.0554082573809049,840,11,65
208,5,2,0.000784929356357928,121.175528442983,0.00958223809681738,189,6,11
209,2,1,0.000840336134453782,26.5912048339125,0.0115754604876277,378,3,5
210,0,2,0.000835421888053467,0,0.010966470583226,344,2,4
211,6,4,0.00103199174406605,163.647839621933,0.0365124544362423,1067,9,27
212,5,7,0.00102880658436214,120.986424377911,0.0776605067447353,1152,10,26
213,0,1,0.000742390497401633,0,0.00352989170086037,66,1,2
214,0,2,0.0009765625,0,0.0157507543051472,605,2,4
215,0,5,0.000855431993156544,1.74384460151082,0.0284214531454139,451,5,8
216,5,2,0.000783699059561129,66.0314213844068,0.0158874246794606,173,5,7
217,7,6,0.00100300902708124,317.568101053418,0.0597054394480292,753,10,18
218,3,2,0.000991080277502478,131.698420983941,0.0215004695391312,705,4,11
219,17,13,0.00103092783505155,1070.33763966159,0.0705282997803316,999,12,64
220,0,1,0.000747384155455904,0,0.00483870919805995,80,1,2
221,8,2,0.00101626016260163,208.853996828862,0.0375372464626256,973,7,34
222,1,1,0.000747384155455904,0,0.0096774183961199,81,2,2
223,24,15,0.0010752688172043,1113.87686850351,0.157855633434236,1533,24,147
224,0,2,0.000761614623000762,0,0.00582471387351402,111,2,4
225,0,1,0.000747384155455904,0,0.00483870919805995,80,1,2
226,7,8,0.00105263157894737,91.902575779243,0.0680670392281386,1256,11,62
227,1,1,0.000747384155455904,0,0.0096774183961199,81,2,2
228,0,2,0.000856164383561644,0,0.0152609634356303,413,2,4
229,0,1,0.000705716302046577,0,0.000743074156542986,19,1,2
230,0,3,0.000708717221828491,4.69954280905267,0.00119421904719762,27,2,4
231,0,7,0.000792393026941363,38.9602667301886,0.0125992652610524,188,6,10
232,0,3,0.00101936799184506,17.486325227798,0.0260702794322831,934,3,6
233,0,1,0.000708717221828491,0,0.000854797280966414,38,1,2
234,37,0,0.00102986611740474,2851.4012937377,0.0573498885556474,1004,10,95
235,1,3,0.00102145045965271,70.9930983785923,0.0410869535948762,954,4,6
236,0,3,0.000977517106549365,0,0.0306646993573058,621,3,4
237,0,1,0.000708717221828491,0,0.000854797280966414,38,1,2
238,0,2,0.000708717221828491,0,0.00170959456193283,39,2,2
239,1,2,0.000978473581213307,84.1146372569071,0.0157829985345899,624,3,6
240,0,2,0.000977517106549365,0,0.0157597483191361,620,2,4
241,0,3,0.000977517106549365,0,0.0166145456001025,621,3,4
242,0,4,0.000978473581213307,5.34926313996081,0.0311842231245918,631,4,8
243,5,3,0.00099403578528827,927.081126256802,0.0328499649551303,676,6,10
244,0,1,0.000708717221828491,0,0.000854797280966414,38,1,2
245,0,3,0.000979431929480901,440,0.015763250244434,622,2,5
246,1,5,0.000985221674876847,5.40266627288214,0.048662011769267,674,6,8
247,2,6,0.00102986611740474,467.639911905483,0.0461366771069015,1035,6,23
248,6,3,0.00100603621730382,706.870959866818,0.052101477523353,854,8,21
249,5,7,0.00102986611740474,323.755498435168,0.0874339171527461,1080,11,23
250,1,3,0.00101936799184506,48.5477346261331,0.0268267581512586,946,4,9
251,4,1,0.000980392156862745,51.4277057711402,0.0170808744884227,653,5,8
252,2,1,0.000977517106549365,14.0935595082284,0.0189942395183181,631,3,6
253,2,1,0.000977517106549365,37.795766558939,0.0308611229313706,614,3,4
254,1,1,0.000711237553342817,0.305555555555556,0.00157709005077225,22,2,3
255,0,2,0.000972762645914397,0,0.0151624079973855,588,2,4
256,3,2,0.000982318271119843,35.5354369952431,0.0172732509188726,647,4,12
257,3,1,0.000985221674876847,34.7576035455086,0.0178121189175411,653,4,7
258,1,4,0.00101936799184506,8.01464829783727,0.0422381190878743,968,4,8
259,0,3,0.000982318271119843,39.5816107149773,0.016956755330437,636,3,5
260,0,1,0.000681198910081744,0,0.000222206930400922,3,1,2
261,1,1,0.000972762645914397,440,0.0149082630215877,584,1,3
262,2,2,0.000843170320404722,43.3071065655428,0.0218962761534166,364,4,4
263,1,0,0.000684462696783025,0,0.000234950473095705,4,1,2
264,0,2,0.000838222967309304,5.58085000017157,0.0108012801323852,349,2,3
265,3,1,0.000980392156862745,110.78629375925,0.0160869373334106,613,4,9
266,1,4,0.000734214390602056,74.2826688731122,0.00242133989542685,54,4,6
267,0,2,0.000983284169124877,0,0.018336132004487,641,2,4
268,7,2,0.000820344544708778,59.9868185538132,0.022432531350316,325,8,17
269,0,3,0.000761614623000762,11.6538687896284,0.00577843143496872,105,3,4
270,1,1,0.000712250712250712,0,0.00274963047794616,28,2,2
271,2,2,0.000975609756097561,2.37083333333333,0.0305519410599439,601,4,5
272,1,1,0.00072992700729927,0,0.00470566097487312,41,2,2
273,4,0,0.000768049155145929,4.16569220829499,0.00367895525676952,115,4,6
274,0,1,0.000763358778625954,0,0.00697982745981377,118,1,2
275,1,4,0.000857632933104631,2.55866540284577,0.0289128772905455,472,5,12
276,1,4,0.00102459016393443,9.81135963162683,0.0621169348118933,1035,5,8
